,Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change,Reference Cell Type
171,CPS,Vip_2,0.0,-0.38,0.523,0.174,0.516,15.815341857414763,0.0,STR PVALB-RSPO2 GABA
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.197,0.238,0.079,0.467,16.866470225254666,0.0,STRv D2 MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.207,0.233,0.085,0.527,15.636228612237424,0.0,Vip_5
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.166,0.271,0.084,0.511,15.835940654289605,0.0,BG LAMP5-CXCL14 GABA
99,Sex_codes,Vip_2,0.0,-0.108,0.102,0.041,0.48,15.752067896457811,0.0,OB-in Frmd7 Gaba
99,Sex_codes,Vip_2,0.0,-0.16,0.097,0.048,0.496,15.845262445798676,0.0,STRd D1 Striosome MSN
171,CPS_AT8,Vip_2,0.0,-0.533,0.431,0.179,0.499,16.107433692535245,0.0,STRd D1 Matrix MSN
135,APOE4_Status_codes,Vip_2,0.0,-0.131,0.126,0.05,0.501,15.815341857414763,0.0,STR PVALB-RSPO2 GABA
98,APOE4_Status_codes,Vip_2,0.0,-0.193,0.091,0.05,0.498,15.929572308439884,0.0,STRd D1 Matrix MSN
99,Sex_codes,Vip_2,0.0,-0.099,0.104,0.038,0.47,15.59008657054933,0.0,STR PVALB-RSPO2 GABA
99,Sex_codes,Vip_2,0.0,-0.098,0.129,0.042,0.482,16.76422338805667,0.0,Vip_23
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.128,0.253,0.077,0.521,15.981917166295126,0.0,STRd D2 Striosome MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.176,0.275,0.092,0.538,15.369287886959055,0.0,Vip_6
61,Sex_codes,Vip_2,0.0,-0.11,0.117,0.043,0.481,15.99413235739882,0.0,STRd D1D2 Hybrid MSN
131,ADNC_codes,Vip_2,0.0,-0.336,0.792,0.215,0.461,12.982984190759616,-0.6532406089114583,Vip_4
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.178,0.224,0.079,0.515,28.022643656334644,0.0,STR VIP GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.13,0.105,0.044,0.449,15.963328367589623,0.0,Vip_13
135,APOE4_Status_codes,Vip_2,0.0,-0.113,0.146,0.051,0.474,15.561209955046046,0.0,Sst Chodl_2
135,APOE4_Status_codes,Vip_2,0.0,-0.128,0.097,0.041,0.488,15.835940654289605,0.0,BG LAMP5-CXCL14 GABA
133,Braak_codes,Vip_2,0.0,-0.441,1.032,0.279,0.429,10.058972124874252,-1.5110814109717212,STR SST-RSPO2 GABA
61,Sex_codes,Vip_2,0.0,0.0,0.0,0.0,0.0,16.337201875870104,0.0,Vip_2
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.199,0.243,0.084,0.505,15.902489244193456,0.0,STRd D2 Striosome MSN
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.261,0.293,0.1,0.484,15.369287886959055,0.0,Vip_6
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.185,0.22,0.073,0.505,16.840990696133428,0.0,STRv D1 MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.157,0.319,0.089,0.509,16.840990696133428,0.0,STRv D1 MSN
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.148,0.237,0.079,0.506,28.898507801544408,0.0,STRv D2 MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.151,0.282,0.082,0.518,15.78728635708294,0.0,STR FS PTHLH-PVALB GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.11,0.137,0.044,0.481,15.492871788235488,0.0,Vip_12
135,APOE4_Status_codes,Vip_2,0.0,-0.123,0.149,0.051,0.48,15.59008657054933,0.0,STR PVALB-RSPO2 GABA
61,Sex_codes,Vip_2,0.0,-0.111,0.129,0.045,0.489,20.41829837525349,0.0,Vip_4
135,APOE4_Status_codes,Vip_2,0.0,-0.134,0.109,0.047,0.497,15.369287886959055,0.0,Vip_6
99,Sex_codes,Vip_2,0.0,-0.106,0.091,0.035,0.452,15.963328367589623,0.0,Vip_13
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.173,0.304,0.092,0.535,15.46584659443534,0.0,Vip_6
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.244,0.266,0.097,0.493,16.90960100791704,0.0,Vip_19
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.188,0.217,0.083,0.538,15.815341857414763,0.0,STR PVALB-RSPO2 GABA
63,Sex_codes,Vip_2,0.0,-0.102,0.099,0.038,0.494,28.022643656334644,0.0,STR VIP GABA
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.188,0.273,0.085,0.549,15.99413235739882,0.0,STRd D1D2 Hybrid MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.164,0.196,0.064,0.49,15.83536430328417,0.0,STRv D2 MSN
99,Sex_codes,Vip_2,0.0,-0.109,0.091,0.039,0.479,15.369287886959055,0.0,Vip_6
96,APOE4_Status_codes,Vip_2,0.0,-0.144,0.193,0.066,0.498,20.41829837525349,0.0,Vip_4
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.175,0.239,0.079,0.489,15.845262445798676,0.0,STRd D1 Striosome MSN
131,Thal_codes,Vip_2,0.0,-0.335,0.32,0.122,0.488,16.087606502025697,0.0,BG LAMP5-CXCL14 GABA
63,Sex_codes,Vip_2,0.0,-0.137,0.1,0.048,0.517,28.898507801544408,0.0,STRv D2 MSN
99,Sex_codes,Vip_2,0.0,-0.11,0.113,0.041,0.476,16.90960100791704,0.0,Vip_19
61,Sex_codes,Vip_2,0.0,-0.104,0.11,0.042,0.468,16.065344818487123,0.0,Vip_6
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.225,0.22,0.084,0.497,16.76422338805667,0.0,Vip_23
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.15,0.197,0.062,0.519,20.164427320714303,0.0,Vip_11
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.24,0.245,0.093,0.53,16.089866743723142,0.0,OB-in Frmd7 Gaba
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.24,0.224,0.087,0.509,28.49203087900192,0.0,STR TAC3-PLPP4-LHX8 GABA
96,APOE4_Status_codes,Vip_2,0.0,-0.181,0.167,0.06,0.466,20.164427320714303,0.0,Vip_11
171,CPS_6e10,Vip_2,0.0,-0.323,0.349,0.132,0.494,15.561209955046046,0.0,Sst Chodl_2
98,APOE4_Status_codes,Vip_2,0.0,-0.178,0.248,0.078,0.512,30.217557680132547,0.033654922169824,Vip_15
99,Sex_codes,Vip_2,0.0,-0.134,0.087,0.04,0.472,15.72411523365064,0.0,Vip_14
131,Thal_codes,Vip_2,0.0,-0.309,0.357,0.125,0.519,15.780011493444094,0.0,Vip_16
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.237,0.249,0.09,0.499,15.59008657054933,0.0,STR PVALB-RSPO2 GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.128,0.134,0.049,0.486,15.46584659443534,0.0,Vip_6
61,Sex_codes,Vip_2,0.0,-0.109,0.143,0.049,0.496,16.087606502025697,0.0,BG LAMP5-CXCL14 GABA
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.212,0.246,0.086,0.488,16.76422338805667,0.0,Vip_23
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.25,0.245,0.09,0.49,16.881202296436115,0.0,Vip_1
135,APOE4_Status_codes,Vip_2,0.0,-0.086,0.131,0.043,0.489,16.866470225254666,0.0,STRv D2 MSN
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.201,0.237,0.085,0.515,15.973447353806876,0.0,Sst Chodl_2
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.246,0.255,0.096,0.503,15.352371038999458,0.0,Vip_23
133,Braak_codes,Vip_2,0.0,-0.451,0.691,0.202,0.428,15.480110577917872,-0.0412917555874521,STRd D1 Matrix MSN
171,CPS_AT8,Vip_2,0.0,-0.61,0.513,0.191,0.494,16.866470225254666,0.0,STRv D2 MSN
131,Thal_codes,Vip_2,0.0,-0.403,0.371,0.15,0.526,15.99413235739882,0.0,STRd D1D2 Hybrid MSN
135,APOE4_Status_codes,Vip_2,0.0,-0.104,0.147,0.05,0.484,15.72411523365064,0.0,Vip_14
96,APOE4_Status_codes,Vip_2,0.0,-0.144,0.11,0.044,0.484,16.087606502025697,0.0,BG LAMP5-CXCL14 GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.115,0.137,0.05,0.479,16.90960100791704,0.0,Vip_19
96,APOE4_Status_codes,Vip_2,0.0,-0.101,0.156,0.048,0.54,15.99413235739882,0.0,STRd D1D2 Hybrid MSN
171,CPS_6e10,Vip_2,0.0,-0.322,0.418,0.137,0.513,15.492871788235488,0.0,Vip_12
135,APOE4_Status_codes,Vip_2,0.0,-0.089,0.13,0.044,0.486,16.53101930843425,0.0,Vip_5
171,CPS_6e10,Vip_2,0.0,-0.328,0.35,0.133,0.521,15.752067896457811,0.0,OB-in Frmd7 Gaba
99,Sex_codes,Vip_2,0.0,-0.13,0.099,0.04,0.484,15.46584659443534,0.0,Vip_6
131,ADNC_codes,Vip_2,0.0,-0.341,0.701,0.209,0.464,12.851509575955044,-0.6498746005454858,Vip_11
133,Braak_codes,Vip_2,0.0,-0.469,0.923,0.261,0.377,10.26073229066453,-1.5245984406360185,Vip_15
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.204,0.25,0.089,0.517,15.59008657054933,0.0,STR PVALB-RSPO2 GABA
171,CPS,Vip_2,0.0,-0.377,0.449,0.166,0.492,15.963328367589623,0.0,Vip_13
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.278,0.275,0.108,0.512,16.65711015966366,0.0,Vip_16
61,Sex_codes,Vip_2,0.0,-0.113,0.135,0.046,0.488,20.164427320714303,0.0,Vip_11
171,CPS_AT8,Vip_2,0.0,-0.483,0.587,0.183,0.462,16.90960100791704,0.0,Vip_19
99,Sex_codes,Vip_2,0.0,-0.124,0.089,0.039,0.472,15.815341857414763,0.0,STR PVALB-RSPO2 GABA
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.206,0.206,0.081,0.485,15.78728635708294,0.0,STR FS PTHLH-PVALB GABA
171,CPS,Vip_2,0.0,-0.346,0.46,0.166,0.535,15.72411523365064,0.0,Vip_14
98,APOE4_Status_codes,Vip_2,0.0,-0.196,0.22,0.081,0.507,29.354211481604597,0.0340032012696311,STR SST-RSPO2 GABA
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.265,0.265,0.097,0.515,15.902489244193456,0.0,STRd D2 Striosome MSN
98,APOE4_Status_codes,Vip_2,0.0,-0.218,0.123,0.06,0.483,16.87237975749939,0.0,STRd D2 Matrix MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.198,0.205,0.084,0.483,15.708960619976404,0.0,Vip_4
171,CPS_6e10,Vip_2,0.0,-0.382,0.3,0.135,0.554,15.626543989852845,0.0,Vip_9
171,CPS_6e10,Vip_2,0.0,-0.329,0.397,0.139,0.516,15.56969635094445,0.0,Sst Chodl_1
96,APOE4_Status_codes,Vip_2,0.0,-0.113,0.157,0.056,0.471,21.051756857030025,0.0,Vip_14
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.158,0.252,0.072,0.504,15.934798246904752,0.0,STRv D1 NUDAP MSN
99,Sex_codes,Vip_2,0.0,-0.122,0.1,0.039,0.472,16.829093497927246,0.0,STR VIP GABA
171,CPS,Vip_2,0.0,-0.391,0.543,0.173,0.555,15.889570810090436,0.0,Vip_21
135,APOE4_Status_codes,Vip_2,0.0,-0.132,0.139,0.051,0.48,15.714105928882748,0.0,STRd D1 Matrix MSN
133,Braak_codes,Vip_2,0.0,-0.408,1.103,0.273,0.42,10.062159548769344,-1.5308423420497972,Vip_14
133,Braak_codes,Vip_2,0.0,-0.396,0.97,0.291,0.428,9.840186332217447,-1.5364152042101569,Vip_1
99,Sex_codes,Vip_2,0.0,-0.105,0.079,0.039,0.449,15.638802744147997,0.0,STRd D2 StrioMat Hybrid MSN
61,Sex_codes,Vip_2,0.0,-0.097,0.126,0.041,0.472,16.102382072300614,0.0,Vip_13
171,CPS,Vip_2,0.0,-0.431,0.512,0.175,0.501,15.981917166295126,0.0,STRd D2 Striosome MSN
61,Sex_codes,Vip_2,0.0,-0.103,0.137,0.044,0.481,15.922068769434846,0.0,STR PVALB-RSPO2 GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.135,0.128,0.051,0.475,15.96829374660598,0.0,STRd D2 Matrix MSN
99,Sex_codes,Vip_2,0.0,-0.102,0.104,0.044,0.508,17.294656075450234,0.0,Vip_15
99,Sex_codes,Vip_2,0.0,-0.106,0.094,0.036,0.451,15.708960619976404,0.0,Vip_4
131,Thal_codes,Vip_2,0.0,-0.337,0.375,0.128,0.505,15.969153078876598,0.0,Vip_14
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.276,0.276,0.097,0.475,15.741215385488609,0.0,Vip_11
98,APOE4_Status_codes,Vip_2,0.0,-0.224,0.206,0.082,0.515,29.76571425299813,0.0338692006513733,Vip_14
135,APOE4_Status_codes,Vip_2,0.0,-0.11,0.126,0.048,0.479,16.65711015966366,0.0,Vip_16
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.177,0.251,0.077,0.51,21.051756857030025,0.0,Vip_14
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.218,0.31,0.103,0.51,15.741215385488609,0.0,Vip_11
135,APOE4_Status_codes,Vip_2,0.0,-0.131,0.124,0.047,0.489,15.638802744147997,0.0,STRd D2 StrioMat Hybrid MSN
96,APOE4_Status_codes,Vip_2,0.0,-0.134,0.134,0.051,0.511,15.922068769434846,0.0,STR PVALB-RSPO2 GABA
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.217,0.277,0.103,0.558,17.294656075450234,0.0,Vip_15
131,Thal_codes,Vip_2,0.0,-0.359,0.363,0.144,0.517,16.142746687026047,0.0,STRd D2 StrioMat Hybrid MSN
171,CPS_AT8,Vip_2,0.0,-0.525,0.533,0.2,0.518,15.96829374660598,0.0,STRd D2 Matrix MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.207,0.253,0.09,0.513,15.556186659802744,0.0,Vip_13
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.165,0.288,0.083,0.484,15.620008039438558,0.0,STR TAC3-PLPP4 GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.087,0.151,0.048,0.481,16.829093497927246,0.0,STR VIP GABA
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.182,0.236,0.078,0.486,28.587078337188608,0.0,Vip_19
99,Sex_codes,Vip_2,0.0,-0.084,0.146,0.042,0.483,15.873221491248742,0.0,LSX GABA
61,Sex_codes,Vip_2,0.0,-0.109,0.133,0.043,0.479,21.051756857030025,0.0,Vip_14
61,Sex_codes,Vip_2,0.0,-0.136,0.126,0.049,0.508,20.80389135902651,0.0,Vip_9
171,CPS,Vip_2,0.0,-0.355,0.512,0.166,0.516,15.873221491248742,0.0,LSX GABA
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.169,0.248,0.075,0.492,20.80389135902651,0.0,Vip_9
131,ADNC_codes,Vip_2,0.0,-0.445,0.606,0.19,0.431,12.810756037637857,-0.7165850171782393,Vip_14
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.201,0.267,0.092,0.536,28.54370764402832,0.0,Vip_1
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.138,0.3,0.085,0.517,15.638802744147997,0.0,STRd D2 StrioMat Hybrid MSN
61,Sex_codes,Vip_2,0.0,-0.145,0.114,0.049,0.502,20.783171994921897,0.0,Vip_6
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.186,0.209,0.075,0.496,15.889570810090436,0.0,Vip_21
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.225,0.252,0.093,0.512,15.6205417375292,0.0,STRd D1 Matrix MSN
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.27,0.246,0.097,0.461,15.889570810090436,0.0,Vip_21
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.207,0.264,0.085,0.513,15.620008039438558,0.0,STR TAC3-PLPP4 GABA
63,Sex_codes,Vip_2,0.0,-0.101,0.09,0.038,0.504,28.54370764402832,0.0,Vip_1
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.21,0.299,0.097,0.519,15.638802744147997,0.0,STRd D2 StrioMat Hybrid MSN
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.26,0.254,0.096,0.515,16.829093497927246,0.0,STR VIP GABA
131,Thal_codes,Vip_2,0.0,-0.397,0.301,0.135,0.511,15.934798246904752,0.0,STRv D1 NUDAP MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.245,0.322,0.111,0.545,15.96829374660598,0.0,STRd D2 Matrix MSN
171,CPS,Vip_2,0.0,-0.35,0.501,0.158,0.497,15.708960619976404,0.0,Vip_4
135,APOE4_Status_codes,Vip_2,0.0,-0.103,0.169,0.051,0.489,15.556186659802744,0.0,Vip_13
171,CPS_6e10,Vip_2,0.0,-0.349,0.356,0.141,0.503,15.845262445798676,0.0,STRd D1 Striosome MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.176,0.293,0.092,0.52,16.829093497927246,0.0,STR VIP GABA
131,ADNC_codes,Vip_2,0.0,-0.345,0.636,0.184,0.453,12.84973443714436,-0.6936773159881388,Vip_6
135,APOE4_Status_codes,Vip_2,0.0,-0.133,0.138,0.047,0.478,15.873221491248742,0.0,LSX GABA
99,Sex_codes,Vip_2,0.0,-0.106,0.141,0.047,0.475,15.96829374660598,0.0,STRd D2 Matrix MSN
135,APOE4_Status_codes,Vip_2,0.0,-0.092,0.146,0.042,0.473,15.889570810090436,0.0,Vip_21
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.134,0.279,0.08,0.509,16.102382072300614,0.0,Vip_13
171,CPS_6e10,Vip_2,0.0,-0.353,0.365,0.137,0.51,15.556186659802744,0.0,Vip_13
61,Sex_codes,Vip_2,0.0,-0.105,0.096,0.039,0.483,15.934798246904752,0.0,STRv D1 NUDAP MSN
99,Sex_codes,Vip_2,0.0,-0.104,0.108,0.044,0.475,15.556186659802744,0.0,Vip_13
135,APOE4_Status_codes,Vip_2,0.0,-0.127,0.122,0.062,0.53,17.294656075450234,0.0,Vip_15
96,APOE4_Status_codes,Vip_2,0.0,-0.152,0.11,0.046,0.475,15.969153078876598,0.0,Vip_14
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.202,0.287,0.091,0.488,15.708960619976404,0.0,Vip_4
171,CPS_AT8,Vip_2,0.0,-0.39,0.563,0.179,0.541,16.65711015966366,0.0,Vip_16
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.243,0.267,0.096,0.503,15.96829374660598,0.0,STRd D2 Matrix MSN
99,Sex_codes,Vip_2,0.0,-0.121,0.095,0.04,0.471,15.889570810090436,0.0,Vip_21
98,APOE4_Status_codes,Vip_2,0.0,-0.17,0.267,0.083,0.504,28.54370764402832,0.0,Vip_1
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.165,0.203,0.07,0.506,20.783171994921897,0.0,Vip_6
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.189,0.248,0.085,0.514,15.922068769434846,0.0,STR PVALB-RSPO2 GABA
171,CPS_AT8,Vip_2,0.0,-0.44,0.408,0.156,0.486,17.294656075450234,0.0,Vip_15
96,APOE4_Status_codes,Vip_2,0.0,-0.122,0.107,0.043,0.501,15.934798246904752,0.0,STRv D1 NUDAP MSN
135,APOE4_Status_codes,Vip_2,0.0,-0.122,0.129,0.047,0.509,15.708960619976404,0.0,Vip_4
63,Sex_codes,Vip_2,0.0,-0.096,0.12,0.044,0.495,28.657264728847583,0.0,Vip_18
96,APOE4_Status_codes,Vip_2,0.0,-0.174,0.175,0.061,0.468,20.80389135902651,0.0,Vip_9
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.227,0.241,0.085,0.47,16.53101930843425,0.0,Vip_5
131,ADNC_codes,Vip_2,0.0,-0.442,0.727,0.213,0.447,13.187893830592758,-0.6467842875564707,Vip_5
99,Sex_codes,Vip_2,0.0,-0.13,0.122,0.048,0.474,16.577366733082403,0.0,Vip_18
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.21,0.268,0.09,0.517,15.6205417375292,0.0,STRd D1 Matrix MSN
171,CPS_6e10,Vip_2,0.0,-0.37,0.399,0.15,0.547,15.85879696951656,0.0,STRd D2 Matrix MSN
99,Sex_codes,Vip_2,0.0,0.0,0.0,0.0,0.0,16.286269432714235,0.0,Vip_2
131,Thal_codes,Vip_2,0.0,-0.349,0.376,0.142,0.505,16.002940614217547,0.0,Sst Chodl_1
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.198,0.239,0.085,0.512,15.752067896457811,0.0,OB-in Frmd7 Gaba
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.142,0.229,0.071,0.537,20.4642816821931,0.0,Vip_16
99,Sex_codes,Vip_2,0.0,-0.085,0.131,0.041,0.486,15.56969635094445,0.0,Sst Chodl_1
171,CPS_6e10,Vip_2,0.0,-0.314,0.32,0.124,0.514,15.352371038999458,0.0,Vip_23
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.164,0.224,0.084,0.524,15.768918174411114,0.0,Vip_16
131,Thal_codes,Vip_2,0.0,-0.362,0.433,0.14,0.493,15.92387962428587,0.0,Vip_23
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.185,0.336,0.111,0.503,16.87237975749939,0.0,STRd D2 Matrix MSN
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.163,0.239,0.08,0.492,15.928035864268322,0.0,LSX GABA
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.273,0.264,0.112,0.512,16.94575241954162,0.0,Vip_12
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.19,0.256,0.085,0.515,29.07506290029818,0.0,Vip_14
133,Braak_codes,Vip_2,0.0,-0.32,0.962,0.261,0.408,10.118571368043913,-1.498357569269989,Vip_19
99,Sex_codes,Vip_2,0.0,-0.118,0.108,0.044,0.512,16.65711015966366,0.0,Vip_16
63,Sex_codes,Vip_2,0.0,-0.101,0.122,0.042,0.497,16.87237975749939,0.0,STRd D2 Matrix MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.233,0.243,0.096,0.504,15.626543989852845,0.0,Vip_9
96,APOE4_Status_codes,Vip_2,0.0,-0.176,0.15,0.06,0.488,20.647948744614364,0.0,Vip_5
135,APOE4_Status_codes,Vip_2,0.0,-0.109,0.132,0.046,0.471,15.352371038999458,0.0,Vip_23
135,APOE4_Status_codes,Vip_2,0.0,-0.139,0.113,0.044,0.463,15.768918174411114,0.0,Vip_16
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.219,0.345,0.105,0.501,16.577366733082403,0.0,Vip_18
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.185,0.271,0.09,0.535,16.94575241954162,0.0,Vip_12
96,APOE4_Status_codes,Vip_2,0.0,-0.127,0.134,0.048,0.515,16.002940614217547,0.0,Sst Chodl_1
135,APOE4_Status_codes,Vip_2,0.0,-0.137,0.117,0.049,0.482,15.981917166295126,0.0,STRd D2 Striosome MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,0.0,0.0,0.0,0.0,16.286269432714235,0.0,Vip_2
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.215,0.286,0.095,0.54,16.53101930843425,0.0,Vip_5
61,Sex_codes,Vip_2,0.0,-0.095,0.139,0.044,0.479,15.928035864268322,0.0,LSX GABA
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.228,0.264,0.093,0.525,15.873221491248742,0.0,LSX GABA
135,APOE4_Status_codes,Vip_2,0.0,-0.124,0.13,0.05,0.493,16.107433692535245,0.0,STRd D1 Matrix MSN
63,Age_at_Death_binned_codes,Vip_2,0.0,-0.221,0.306,0.104,0.541,15.33339380249588,0.0,STRv D1 NUDAP MSN
99,Sex_codes,Vip_2,0.0,-0.094,0.115,0.04,0.482,15.768918174411114,0.0,Vip_16
28,Age_at_Death_binned_codes,Vip_2,0.0,-0.189,0.254,0.087,0.525,28.657264728847583,0.0,Vip_18
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.234,0.264,0.097,0.529,15.33339380249588,0.0,STRv D1 NUDAP MSN
135,APOE4_Status_codes,Vip_2,0.0,-0.122,0.113,0.045,0.482,16.577366733082403,0.0,Vip_18
99,Sex_codes,Vip_2,0.0,-0.137,0.096,0.044,0.463,16.107433692535245,0.0,STRd D1 Matrix MSN
131,Thal_codes,Vip_2,0.0,-0.375,0.341,0.136,0.486,15.922068769434846,0.0,STR PVALB-RSPO2 GABA
171,CPS_6e10,Vip_2,0.0,-0.338,0.435,0.149,0.518,15.638802744147997,0.0,STRd D2 StrioMat Hybrid MSN
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.26,0.28,0.1,0.51,15.556186659802744,0.0,Vip_13
135,APOE4_Status_codes,Vip_2,0.0,-0.105,0.135,0.047,0.521,15.741215385488609,0.0,Vip_11
135,APOE4_Status_codes,Vip_2,0.0,-0.089,0.142,0.046,0.491,15.626543989852845,0.0,Vip_9
135,APOE4_Status_codes,Vip_2,0.0,-0.152,0.107,0.051,0.479,15.56969635094445,0.0,Sst Chodl_1
131,ADNC_codes,Vip_2,0.0,-0.355,0.691,0.224,0.503,12.874674447029816,-0.6685720752292809,Vip_16
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.249,0.188,0.088,0.546,17.294656075450234,0.0,Vip_15
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.202,0.293,0.093,0.51,15.752067896457811,0.0,OB-in Frmd7 Gaba
99,Sex_codes,Vip_2,0.0,-0.114,0.119,0.042,0.474,15.714105928882748,0.0,STRd D1 Matrix MSN
135,APOE4_Status_codes,Vip_2,0.0,-0.114,0.14,0.053,0.484,15.845262445798676,0.0,STRd D1 Striosome MSN
96,APOE4_Status_codes,Vip_2,0.0,-0.119,0.12,0.045,0.485,16.142746687026047,0.0,STRd D2 StrioMat Hybrid MSN
99,Sex_codes,Vip_2,0.0,-0.127,0.11,0.042,0.471,15.741215385488609,0.0,Vip_11
63,Sex_codes,Vip_2,0.0,-0.119,0.113,0.042,0.505,28.587078337188608,0.0,Vip_19
171,CPS,Vip_2,0.0,-0.433,0.467,0.17,0.537,15.445765291637208,-0.024848836794981,STRd D1 Matrix MSN
171,CPS,Vip_2,0.0,0.0,0.0,0.0,0.0,16.286269432714235,0.0,Vip_2
131,ADNC_codes,Vip_2,0.0,-0.37,0.67,0.206,0.445,12.471927296507548,-0.7381689859331337,Vip_9
96,APOE4_Status_codes,Vip_2,0.0,-0.149,0.15,0.063,0.512,20.4642816821931,0.0,Vip_16
61,Sex_codes,Vip_2,0.0,-0.103,0.118,0.044,0.485,16.142746687026047,0.0,STRd D2 StrioMat Hybrid MSN
99,Sex_codes,Vip_2,0.0,-0.113,0.102,0.04,0.483,15.626543989852845,0.0,Vip_9
27,method[T.10xV3.1_HT],Vip_2,0.0,-0.279,0.269,0.104,0.505,15.768918174411114,0.0,Vip_16
26,Age_at_Death_binned_codes,Vip_2,0.0,-0.156,0.255,0.075,0.521,16.142746687026047,0.0,STRd D2 StrioMat Hybrid MSN
61,Sex_codes,Vip_2,0.0,-0.112,0.152,0.048,0.481,20.4642816821931,0.0,Vip_16
99,Sex_codes,Vip_2,0.0,-0.102,0.133,0.042,0.472,15.620008039438558,0.0,STR TAC3-PLPP4 GABA
135,APOE4_Status_codes,Vip_2,0.0,0.0,0.0,0.0,0.0,16.286269432714235,0.0,Vip_2
